month,hour,co2_eq_kg_per_MWh
1,0,410.8942874579529
1,1,435.58117749590974
1,2,357.66006699881603
1,3,439.4945291536454
1,4,399.1606278879156
1,5,406.555010839144
1,6,439.085627828709
1,7,503.82952569733226
1,8,570.325942667687
1,9,584.7001863513898
1,10,541.7485190034613
1,11,490.36596314620886
1,12,533.7065714831108
1,13,502.4085629607635
1,14,462.71983534642595
1,15,448.6191291257586
1,16,507.59161593714373
1,17,388.5181951953224
1,18,464.06926812475723
1,19,606.0590823661681
1,20,607.7632313577554
1,21,527.656810804382
1,22,582.3588858712927
1,23,536.2987801125928
2,0,459.86007365021527
2,1,434.59619668406066
2,2,345.0221453062445
2,3,355.02186211648035
2,4,448.70007189312173
2,5,403.7018618745047
2,6,447.81447190641313
2,7,496.0137144549445
2,8,541.9208861887466
2,9,591.4705694294831
2,10,493.6395954412562
2,11,550.8789918432363
2,12,443.7567857459868
2,13,423.8685098397051
2,14,473.14269541307743
2,15,387.37750722434214
2,16,421.85762087978134
2,17,418.6935933465402
2,18,456.2419807550081
2,19,479.4825256131895
2,20,510.1702218858104
2,21,646.501376744997
2,22,450.9080593028803
2,23,513.9852087038163
3,0,456.9227459435775
3,1,488.8292476673785
3,2,370.77161176987516
3,3,539.2829029220785
3,4,454.1618524337043
3,5,545.2325524588728
3,6,568.1779463336646
3,7,589.9038189438266
3,8,599.4695600378144
3,9,599.3059019124571
3,10,637.9917929655192
3,11,540.5863723473703
3,12,504.9492147408348
3,13,475.8357416035536
3,14,448.5219047460017
3,15,428.48964814203725
3,16,350.92572319242583
3,17,401.48610670773917
3,18,396.0853030658896
3,19,500.66020034532534
3,20,594.1052198477518
3,21,639.8813121714987
3,22,584.7498385239317
3,23,577.0378534901912
4,0,474.12827456518545
4,1,417.53943828481243
4,2,537.4659975967165
4,3,469.4700603273296
4,4,499.5636925316881
4,5,499.0668624516517
4,6,563.8846372650208
4,7,617.1524864331085
4,8,532.4324683603439
4,9,568.329247873294
4,10,511.32217569738094
4,11,547.0323537768763
4,12,591.081499961205
4,13,503.72858550057106
4,14,522.7138592446543
4,15,520.3878952840436
4,16,626.6773177930216
4,17,486.601333419772
4,18,454.1751766369535
4,19,509.1859274294312
4,20,671.1705600539907
4,21,694.3621063956873
4,22,604.8188214807287
4,23,516.5486991832298
5,0,428.92404904235156
5,1,501.73302291719494
5,2,489.74154451648434
5,3,344.08210711109666
5,4,433.91931624752993
5,5,449.62082721262306
5,6,490.9691355762665
5,7,492.59766624364977
5,8,455.9172832920174
5,9,496.142406853811
5,10,533.1241898306469
5,11,462.7448934188698
5,12,579.1479149666758
5,13,562.8552635474397
5,14,533.4308493024507
5,15,511.91218061029235
5,16,506.52791254248706
5,17,532.0778033256831
5,18,551.5384404810345
5,19,611.9201895553972
5,20,550.1289932963426
5,21,529.4070229859907
5,22,585.0094876722582
5,23,481.7527215271741
6,0,604.2352715940334
6,1,437.59299135571115
6,2,344.77370044228456
6,3,401.9348543785831
6,4,353.0221431855551
6,5,383.4384668372555
6,6,375.990059631153
6,7,423.8805037176968
6,8,455.862572724095
6,9,504.41901390200667
6,10,532.7771650632483
