label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
5d1a31815457a3f811a745b6,electric,customer,,,,,,,,,,,659.84,659.84,$/month,https://www.kcpl.com/~/media/Files/My%20Bill/MO%20Detailed%20Tariffs/GMO_Electric_Rates_Tariffs(042516).pdf	http://www.kcpl.com/my-bill/for-home/rate-information/mo/residential-rate-overview-gmo-mps
5d1a31815457a3f811a745b6,electric,demand,,flat,0,0,1,5,0,24,0,6,8.636000000000001,8.636000000000001,$/kW,adjustment factor of 3.148
5d1a31815457a3f811a745b6,electric,demand,,flat,0,0,6,9,0,24,0,6,13.687,13.687,$/kW,adjustment factor of 3.148
5d1a31815457a3f811a745b6,electric,demand,,flat,0,0,10,12,0,24,0,6,8.636000000000001,8.636000000000001,$/kW,adjustment factor of 3.148
5d1a31815457a3f811a745b6,electric,energy,,period1,0,0,1,5,0,24,0,4,0.05835,0.05835,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,180.0,180.0,1,5,0,24,0,4,0.047689999999999996,0.047689999999999996,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,360.0,360.0,1,5,0,24,0,4,0.04284,0.04284,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,360.0,360.0,6,9,0,24,0,4,0.06192,0.06192,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,180.0,180.0,6,9,0,24,0,4,0.050519999999999995,0.050519999999999995,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,360.0,360.0,6,9,0,24,0,4,0.04532,0.04532,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,360.0,360.0,10,12,0,24,0,4,0.04284,0.04284,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,0,0,1,5,0,24,5,6,0.05835,0.05835,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,180.0,180.0,1,5,0,24,5,6,0.047689999999999996,0.047689999999999996,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,360.0,360.0,1,5,0,24,5,6,0.04284,0.04284,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,360.0,360.0,6,9,0,24,5,6,0.06192,0.06192,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,180.0,180.0,6,9,0,24,5,6,0.050519999999999995,0.050519999999999995,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period0,360.0,360.0,6,9,0,24,5,6,0.04532,0.04532,$/kWh,
5d1a31815457a3f811a745b6,electric,energy,,period1,360.0,360.0,10,12,0,24,5,6,0.04284,0.04284,$/kWh,
