label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
64404c83a3e0dae2d3048471,electric,customer,,,,,,,,,,,752.0775,752.0775,$/month,https://www.rockymountainpower.net/content/dam/pcorp/documents/en/rockymountainpower/rates-regulation/wyoming/price-summary/Wyoming_Price_Summary.pdf	https://www.rockymountainpower.net/about/rates-regulation/wyoming-rates-tariffs.html
64404c83a3e0dae2d3048471,electric,demand,,flat,0,0,1,12,0,24,0,6,2.60451,2.60451,$/kW,adjustment factor of 0.02451
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,0,7,0,4,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period1,0,0,1,12,7,9,0,4,20.6057,20.6057,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,9,16,0,4,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period1,0,0,1,12,16,23,0,4,20.6057,20.6057,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,23,24,0,4,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,0,7,5,6,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period1,0,0,1,12,7,9,5,6,20.6057,20.6057,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,9,16,5,6,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period1,0,0,1,12,16,23,5,6,20.6057,20.6057,$/kW,
64404c83a3e0dae2d3048471,electric,demand,,period0,0,0,1,12,23,24,5,6,0.0,0.0,$/kW,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,0,7,0,4,0.020057,0.020057,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period1,0,0,1,12,7,9,0,4,0.031687,0.031687,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,9,16,0,4,0.020057,0.020057,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period1,0,0,1,12,16,23,0,4,0.031687,0.031687,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,23,24,0,4,0.020057,0.020057,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,0,7,5,6,0.020057,0.020057,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period1,0,0,1,12,7,9,5,6,0.031687,0.031687,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,9,16,5,6,0.020057,0.020057,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period1,0,0,1,12,16,23,5,6,0.031687,0.031687,$/kWh,
64404c83a3e0dae2d3048471,electric,energy,,period0,0,0,1,12,23,24,5,6,0.020057,0.020057,$/kWh,
