label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
6449a143c3346df03102c04a,electric,customer,,,,,,,,,,,17.56,17.56,$/month,https://www.atlanticcityelectric.com/SiteCollectionDocuments/MyAccount/MyBillUsage/NJTariffSectionIV.pdf	https://www.atlanticcityelectric.com/MyAccount/MyBillUsage/Pages/Current-Tariffs.aspx
6449a143c3346df03102c04a,electric,demand,,flat,0,0,1,5,0,24,0,6,1.49,1.49,$/kW,
6449a143c3346df03102c04a,electric,demand,,flat,3.0,3.0,1,5,0,24,0,6,4.77,4.77,$/kW,
6449a143c3346df03102c04a,electric,demand,,flat,3.0,3.0,6,9,0,24,0,6,1.9,1.9,$/kW,
6449a143c3346df03102c04a,electric,demand,,flat,3.0,3.0,6,9,0,24,0,6,5.53,5.53,$/kW,
6449a143c3346df03102c04a,electric,demand,,flat,3.0,3.0,10,12,0,24,0,6,1.49,1.49,$/kW,
6449a143c3346df03102c04a,electric,demand,,flat,3.0,3.0,10,12,0,24,0,6,4.77,4.77,$/kW,
6449a143c3346df03102c04a,electric,energy,,period1,0,0,1,5,0,24,0,4,0.098562,0.098562,$/kWh,
6449a143c3346df03102c04a,electric,energy,,period0,0,0,6,9,0,24,0,4,0.10212399999999999,0.10212399999999999,$/kWh,
6449a143c3346df03102c04a,electric,energy,,period1,0,0,10,12,0,24,0,4,0.098562,0.098562,$/kWh,
6449a143c3346df03102c04a,electric,energy,,period1,0,0,1,5,0,24,5,6,0.098562,0.098562,$/kWh,
6449a143c3346df03102c04a,electric,energy,,period0,0,0,6,9,0,24,5,6,0.10212399999999999,0.10212399999999999,$/kWh,
6449a143c3346df03102c04a,electric,energy,,period1,0,0,10,12,0,24,5,6,0.098562,0.098562,$/kWh,
