month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,867.2526606956624,716.3127741935484,983.6707096774196,6.174468862182461,5.866187390209939
2,1132.9252562674894,807.4897142857144,1121.8405714285714,6.265014530378906,5.987546229558022
3,968.3370353076068,545.4458666666667,830.0717419354839,6.871948601225365,6.578015956694186
4,439.7567633395346,456.46986666666663,545.1679999999999,7.6157040816157044,7.414005924065636
5,264.3018999083582,350.56774193548387,467.7398709677419,5.865627340378277,5.422300499255052
6,605.7936650259106,455.3631999999999,594.2789333333334,6.982202444425868,6.752890493351808
7,1092.999100987724,586.5445161290321,981.9143225806449,7.633591403638462,7.271862107462159
8,831.984048084827,442.2952258064517,675.8931612903226,7.0443381022905704,6.763565979673848
9,1045.773490971352,473.10400000000004,629.1898666666667,6.805501491469018,6.656247510988069
10,1385.8951986071638,408.26012903225796,676.2714838709676,6.034317399058301,5.840932400503496
11,2925.556442166441,589.8143999999999,1131.984,6.273113425808297,6.087791562613291
12,1760.814768189979,585.8410322580644,778.3989677419356,6.311625389696456,6.202268107286982
